Latitude,Longitude,Substation Name,Substation Type,Substation Voltage
41.279365210060334,-96.07998743728122,OPPD Blondo Street Substation,Transmission,345000
41.15801065752066,-101.65647611695098,Keystone Substation,Transmission,345000
34.18124573176287,-102.57089407538304,Tolk Substation,Transmission,345000
32.73181018931375,-103.3116915449406,Hobbs Substation,Transmission,345000
32.03636458080561,-102.25205923442267,Gardendale Substation,Transmission,345000
47.07600523672372,-101.19931822541331,Center 345kV Switchyard,Transmission,345000
47.90617148347277,-97.1133207805286,Prairie 345kV Substation,Transmission,345000
47.22863070630423,-101.80252460099261,Coyote Substation,Transmission,345000
47.2823997216993,-101.3153437831279,Leland Olds 345 kV Substation,Transmission,345000
45.37387713047166,-98.10215346807225,Groton Substation,Transmission,345000
47.37069635393309,-101.84227841434623,Antelope Valley Substation,Transmission,345000
44.473665902204814,-98.39261736672086,Broadland Substation,Transmission,345000
47.34192933588669,-103.15948350574544,Charlie Creek,Transmission,345000
46.842200016396056,-103.07014962055507,Belfield Substation,Transmission,345000
33.987514505518945,-95.05105850390423,Valliant Substation,Transmission,345000
34.01907410153633,-95.31245754684845,Hugo Substation,Transmission,345000
34.692655607230684,-95.9222554422727,Kiowa Switch,Transmission,345000
34.185581137820364,-97.2413072864342,Sunnyside Substation,Transmission,345000
35.71673256920097,-95.46804536326555,Pecan Creek Substation,Transmission,345000
34.683801610247926,-95.93211507918254,Kiamichi Station,Transmission,345000
33.632494400868886,-96.3576621159104,Kiowa Switching Station,Transmission,345000
34.96597273373913,-96.7319684862751,Seminole substation,Transmission,345000
36.01140106531628,-95.70281006757614,Oneta Substation,Transmission,345000
36.054548462383224,-96.07032858144986,Sapulpa Road Substation,Transmission,345000
36.159851357992245,-96.22382069942492,Wekiwa Substation,Transmission,345000
36.28253585333326,-95.98100756034793,Tulsa North (345kV),Transmission,345000
36.36199589947758,-96.47374044583248,Cleveland (GRDA) substation,Transmission,345000
36.44717756849179,-97.05711549507627,Sooner Substation,Transmission,345000
35.33157347419102,-97.32910879077475,Draper Lake Substation,Transmission,345000
35.690211025832724,-97.31584164233645,Arcadia Substation,Transmission,345000
35.510983718500725,-97.79203990662701,Cimarron Substation,Transmission,345000
35.6363853318226,-97.64547106978874,Northwest Substation,Transmission,345000
36.330717213884945,-97.78974899494425,Woodring Substation,Transmission,345000
34.603686349441084,-98.31455642287018,Lawton Eastside,Transmission,345000
35.30055935246349,-98.0268923509864,Minco Substation,Transmission,345000
35.72791262449288,-97.79244147437878,Matthewson substation,Transmission,345000
35.93226058289172,-98.75388113141616,Tatonga Substation,Transmission,345000
36.57481956403582,-97.68292601473158,Hunter Substation,Transmission,345000
34.08597479481973,-99.18064603885622,Oklaunion North Substation,Transmission,345000
36.52551696688692,-100.94998046439859,Beaver County Substation,Transmission,345000
36.520759501858834,-100.86521510021011,Balko Wind Substation,Transmission,345000
44.3867165317816,-96.5368494241003,White Substation,Transmission,345000
44.580940120101175,-96.57485584906064,Astoria Switching Station,Transmission,345000
43.60024519966026,-96.6318702438489,Split Rock Substation,Transmission,345000
44.88360935643892,-97.04112028087359,Watertown Substation #2,Transmission,345000
45.20698786579197,-97.02825059325212,Twin Brooks Switching Station,Transmission,345000
45.28117263752271,-96.50694083343389,Big Stone South Substation,Transmission,345000
46.007845289986804,-98.57019031180451,Ellendale Substation,Transmission,345000
32.77307044562597,-94.3920999373804,Jefferson Switching Station,Transmission,138000
32.5386956164723,-94.39654212423564,Marshall Substation,Transmission,138000
32.257017562566254,-94.57465019537399,Martin Lake Substation,Transmission,345000
32.41985714298991,-95.25357469307168,Shamburger Substation,Transmission,345000
32.46363308890301,-94.47859563921338,Pirkey Substation,Transmission,345000
31.364135048794406,-95.39553325664215,Crockett Substation,Transmission,345000
32.01771752947664,-94.62123303424674,Tenaska Gateway Station,Transmission,345000
35.62022695112855,-100.54135655010131,Miami Wind Substation,Transmission,345000
35.40728216464633,-100.81993060167235,Gray Substation,Transmission,345000
34.373393666557625,-100.08684145294421,Tesla Substation,Transmission,345000
35.16384460163636,-100.94015155018569,Salt Fork Wind Substation,Transmission,345000
35.25495881568038,-101.35964492456176,Alibates Substation,Transmission,345000
35.4022323048916,-101.15383710050693,Railhead Substation,Transmission,345000
34.059034860308884,-101.1794575503943,White River Substation,Transmission,345000
33.77829931112906,-100.87653745098613,Cottonwood Substation,Transmission,345000
34.43222756757146,-101.35958697948631,Tule Canyon Substation,Transmission,345000
35.31350915962045,-102.05018604994079,AJ Swope Substation,Transmission,345000
35.414779901167435,-101.25634360011405,Pattern Panhandle Wind 1 Substation,Transmission,345000
35.443028302126194,-101.37284415025862,Pattern Panhandle Wind 2 Substation,Transmission,345000
35.310278665429934,-101.92290985215602,Potter County Interchange,Transmission,345000
33.86919703889702,-101.84369208784099,TUCO Interchange,Transmission,345000
34.51973651051781,-102.03868650200904,Ogallala Substation,Transmission,345000
34.7733778058479,-102.30454970101295,Windmill Substation,Transmission,345000
